2024-07-26 08:07:343 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:405 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:706 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:764 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:160 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:191 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:718 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:749 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:630 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:666 INFO  HomePage :34 - get the title of the page: 
2024-07-26 08:07:77 INFO  HomePage :32 - get the title of the page: 
2024-07-26 08:07:108 INFO  HomePage :32 - get the title of the page: 
2024-07-26 09:07:311 INFO  HomePage :32 - get the title of the page: 
2024-07-26 09:07:464 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (0b59c985c20a0191fdf7b78a72e7ecb9)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 09:07:935 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (0b59c985c20a0191fdf7b78a72e7ecb9)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 09:07:610 INFO  HomePage :32 - get the title of the page: 
2024-07-26 09:07:920 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 09:07:426 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-26 09:07:548 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (00683ea8678a4e57819deec45f93cced)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-07-26 09:07:256 INFO  HomePage :32 - get the title of the page: 
2024-07-26 09:07:579 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (7b435cf64106a9d77177f695c01c5a72)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 09:07:116 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (7b435cf64106a9d77177f695c01c5a72)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 09:07:147 INFO  HomePage :32 - get the title of the page: 
2024-07-26 09:07:410 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (9a794f7ebce517687397a6635a4e08ce)] -> xpath: //label[normalize-space()='Necessary cookies only']]
